index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.welt.de/politik/deutschland/plus247747030/Olaf-Scholz-Auf-dem-Weg-zum-neuen-Fluechtlingskanzler.html,https://www.welt.de/politik/deutschland/plus247747030/Olaf-Scholz-Auf-dem-Weg-zum-neuen-Fluechtlingskanzler.html,0,www.welt.de,Auf dem Weg zum neuen Flüchtlingskanzler,"Bundeskanzler Olaf Scholz (SPD) hat die Migrationskrise von 2015 miterlebt – aber aus einer anderen Sicht als seine Vorgängerin Angela Merkel (CDU). Aufgrund seiner Einsichten als früherer Hamburger Bürgermeister fühlt er sich nun besonders berufen, dem Land …",https://img.welt.de/img/politik/deutschland/mobile240768601/0361353077-ci16x9-w1200-fnov-fpotl-fpi157750653/DWO-Teaser-Bootsfluechtlinge-jb-jpg.jpg,2023-10-01T04:57:25Z,,"Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen: http://epaper.welt.de 
 Der Kurz-Link die… [+49 chars]",,de,'Olaf Scholz'
https://www.dwdl.de/rundfunkrat/94914/dwdlrundfunkrat_schinkenstrasse_feiertag_und_nackte_haut/,https://www.dwdl.de/rundfunkrat/94914/dwdlrundfunkrat_schinkenstrasse_feiertag_und_nackte_haut/,0,www.dwdl.de,"DWDL-Rundfunkrat: Schinkenstraße, Feiertag und nackte Haut","Prime Video nimmt den ""Last Exit Schinkenstraße"", im ZDF startet die letzte ""Fritzie""-Staffel und bei Discovery+ feiert ""Naked Attraction"" sein Comeback. Außerdem: Die frühere Bundeskanzlerin Angela Merkel meldet sich zu Wort.",https://www.dwdl.de/images/1696003275_naked-attraction.jpg,2023-10-01T11:00:00Z,,"""Last Exit Schinkenstraße""ab Freitag, Prime VideoHeinz Strunk spielt einen Saxofonisten namens Peter, der genau wie Trompeter Torben (Marc Hosemann, bekannt von ""Die Discounter"") von einem Tag auf de… [+2875 chars]",,de,'Angela Merkel'
https://www.sueddeutsche.de/medien/merkel-interview-tag-der-deutschen-einheit-1.6266311,https://www.sueddeutsche.de/medien/merkel-interview-tag-der-deutschen-einheit-1.6266311,0,www.sueddeutsche.de,Angela Merkel im ZDF-Interview: Schlag in die Magengrube,Was sie zu Ostdeutschland und Migration noch sagen wollte: Angela Merkel gibt im ZDF das erste Interview nach ihrer Amtszeit als Kanzlerin.,https://www.sueddeutsche.de/image/sz.1.6266312/1200x675?v=1696173140,2023-10-01T14:56:07Z,,"Das ""Thema als solches"" interessiere sie eben, sagt Angela Merkel auf die geradezu verdutzte Frage des ZDF-Mannes Mitri Sirin, warum sie ausgerechnet jetzt das erste Interview seit dem Ende ihrer Amt… [+3086 chars]",,de,'Angela Merkel'
https://www.diepresse.com/17712423/ich-werde-ueberleben-erzkonservative-wollen-mccarthy-stuerzen,https://www.diepresse.com/17712423/ich-werde-ueberleben-erzkonservative-wollen-mccarthy-stuerzen,0,www.diepresse.com,„Ich werde überleben“: Erzkonservative wollen McCarthy stürzen,"Muss Kevin McCarthy um sein Spitzenamt fürchten? Hardliner wollen jedenfalls ihren eigenen „Speaker“ stürzen, weil er im Budget-Streit auf die Demokraten zugegangen war.",https://img.diepresse.com/public/incoming/pp93l8-2C21721B-1EC9-4118-BE6C-72FFE977D14C.jpg/alternates/DPR_SOCIAL_NACHRICHTEN/2C21721B-1EC9-4118-BE6C-72FFE977D14C.jpg,2023-10-02T04:42:51Z,,"Muss Kevin McCarthy um sein Spitzenamt fürchten? Hardliner wollen jedenfalls ihren eigenen Speaker stürzen, weil er im Budget-Streit auf die Demokraten zugegangen war. 
Der Republikaner Kevin McCart… [+5351 chars]",,de,'Matt Gaetz'
https://www.brigitte.de/aktuell/prinz-harry-und-herzogin-meghan--intime-momentaufnahmen-bei-den-invictus-games-in-deutschland-13597096.html,https://www.brigitte.de/aktuell/prinz-harry-und-herzogin-meghan--intime-momentaufnahmen-bei-den-invictus-games-in-deutschland-13597096.html,0,www.brigitte.de,Prinz Harry und Herzogin Meghan: Intime Momentaufnahmen bei den Invictus Games in Deutschland,"Von Prinz Harry und Herzogin Meghan sind neue Fotos aufgetaucht, die das Paar hinter den Kulissen der Invictus Games in Düsseldorf zeigen.",https://image.brigitte.de/13597098/t/iV/v1/w1440/r1.7778/-/02--intime-momentaufnahmen-bei-den-invictus-games-in-deutschland---1-1---spoton-article-1053434.jpg,2023-10-02T09:17:00Z,,"Von Prinz Harry und Herzogin Meghan sind neue Fotos aufgetaucht, die das Paar hinter den Kulissen der Invictus Games in Düsseldorf zeigen.
Von Prinz Harry (39) und Herzogin Meghan (42) sind neue Fot… [+1984 chars]",,de,'Prinz Harry'
https://www.stern.de/kultur/prinz-harry-und-herzogin-meghan--intime-momentaufnahmen-bei-den-invictus-games-33877378.html,https://www.stern.de/kultur/prinz-harry-und-herzogin-meghan--intime-momentaufnahmen-bei-den-invictus-games-33877378.html,0,www.stern.de,Prinz Harry und Herzogin Meghan: Intime Momentaufnahmen bei den Invictus Games,"Von Prinz Harry und Herzogin Meghan sind neue Fotos aufgetaucht, die das Paar hinter den Kulissen der Invictus Games in Düsseldorf zeigen.",https://image.stern.de/33877382/t/Q-/v1/w1440/r1.7778/-/02--intime-momentaufnahmen-bei-den-invictus-games---16-9---spoton-article-1053434.jpg,2023-10-02T09:24:00Z,,"Von Prinz Harry und Herzogin Meghan sind neue Fotos aufgetaucht, die das Paar hinter den Kulissen der Invictus Games in Düsseldorf zeigen.
Von Prinz Harry (39) und Herzogin Meghan (42) sind neue Fot… [+1942 chars]",,de,'Prinz Harry'
https://www.stern.de/lifestyle/mode/sarah-burton--designerin-von-kates-hochzeitskleid-verlaesst-mcqueen-33874850.html,https://www.stern.de/lifestyle/mode/sarah-burton--designerin-von-kates-hochzeitskleid-verlaesst-mcqueen-33874850.html,0,www.stern.de,Pariser Modewoche: Sie entwarf Kates Hochzeitskleid. Jetzt verlässt Designerin Sarah Burton die Marke Alexander McQueen,"Im Dienst der Krone: Sarah Burton schneiderte einst das Hochzeitskleid von Herzogin Kate. Nun verlässt sie die Marke Alexander McQueen. Was sollen Fans wie Lady Gaga, Cate Blanchett und die royale Kundschaft nun tragen?",https://image.stern.de/33874860/t/lV/v3/w1440/r1.7778/-/sarah-burton-kleid.jpg,2023-10-02T10:56:00Z,,"02.10.2023, 12:56
 3 Min.
Im Dienst der Krone: Sarah Burton schneiderte einst das Hochzeitskleid von Herzogin Kate. Nun verlässt sie die Marke Alexander McQueen. Was sollen Fans wie Lady Gaga, Cate… [+4946 chars]",,de,'Lady Gaga'
https://www.brigitte.de/aktuell/-germany-s-next-topmodel---dreharbeiten-zur-19--staffel-haben-begonnen-13597312.html,https://www.brigitte.de/aktuell/-germany-s-next-topmodel---dreharbeiten-zur-19--staffel-haben-begonnen-13597312.html,0,www.brigitte.de,"""Germany's next Topmodel"": Dreharbeiten zur 19. Staffel haben begonnen","Heidi Klum meldet sich aus Berlin bei ihren Fans: Die Dreharbeiten zur 19. Staffel von ""Germany's next Topmodel"" haben begonnen.",https://image.brigitte.de/13597314/t/UY/v1/w1440/r1.7778/-/02--dreharbeiten-zur-19--staffel-haben-begonnen---1-1---spoton-article-1053450.jpg,2023-10-02T12:04:00Z,,"Heidi Klum meldet sich aus Berlin bei ihren Fans: Die Dreharbeiten zur 19. Staffel von ""Germany's next Topmodel"" haben begonnen.
Heidi Klum (50) und ihre Nachwuchsmodels sind zurück. Die Dreharbeite… [+1017 chars]",,de,'Heidi Klum'
https://www.tagesschau.de/inland/innenpolitik/boris-rhein-hessenwahl-100.html,https://www.tagesschau.de/inland/innenpolitik/boris-rhein-hessenwahl-100.html,0,www.tagesschau.de,Boris Rhein vor Hessenwahl: Der Achterbahnfahrer,"Ministerpräsident ist er schon, aber nun muss sich Boris Rhein erstmals einer Landtagswahl stellen und sein Amt verteidigen. Für den CDU-Politiker ging es in seiner Karriere nicht immer aufwärts. Von Ute Wellstein.",https://images.tagesschau.de/image/dc3578ab-ffe1-4285-9811-ffe8fbfec0a8/AAABivBlRGs/AAABibBxqrQ/16x9-1280/boris-rhein-110.jpg,2023-10-02T12:30:55Z,,"Stand: 02.10.2023 14:30 Uhr
Ministerpräsident ist er schon, aber nun muss sich Boris Rhein erstmals einer Landtagswahl stellen und sein Amt verteidigen. Für den CDU-Politiker ging es in seiner Karri… [+5195 chars]",,de,'Boris Rhein'
https://www.focus.de/politik/machtkampf-bei-den-us-republikanern-trump-naher-republikaner-will-mccarthy-absetzen_id_217391249.html,https://www.focus.de/politik/machtkampf-bei-den-us-republikanern-trump-naher-republikaner-will-mccarthy-absetzen_id_217391249.html,0,www.focus.de,Machtkampf bei den US-Republikanern - Trump-naher Republikaner will McCarthy absetzen,Nur durch einen Kompromiss mit den Demokraten konnte Kevin McCarthy die US-Haushaltssperre abwenden. Die rechten Hardliner seiner Partei wollen den Republikaner deshalb loswerden - und greifen zu einem seltenen Mittel.,https://p6.focus.de/img/politik/ausland/id_217384109/kevin-mccarthy-galt-von-anfang-an-als-politisch-geschwaecht..jpg?im=Crop%3D%280%2C211%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=db0a1356f7c3fd0c1264743df714c5d64604e86c052a834bbeaef0bbbb18e93b,2023-10-03T00:46:45Z,,Nur durch einen Kompromiss mit den Demokraten konnte Kevin McCarthy die US-Haushaltssperre abwenden. Die rechten Hardliner seiner Partei wollen den Republikaner deshalb loswerden - und greifen zu ein… [+2478 chars],,de,'Kevin McCarthy'
